City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Meulaboh,ID,4.1363,96.1285,80.17,82,100,4.12,overcast clouds
166,Dunedin,NZ,-45.8742,170.5036,53.8,79,10,4.29,clear sky
167,Arman,RU,59.7,150.1667,41.02,86,100,12.71,overcast clouds
168,Tiarei,PF,-17.5333,-149.3333,78.82,73,12,15.19,light rain
169,Isangel,VU,-19.55,169.2667,75.88,81,98,14.5,overcast clouds
170,Micheweni,TZ,-4.9667,39.8333,81.75,72,8,13.71,clear sky
171,Hervey Bay,AU,-25.2986,152.8535,72.01,95,2,3.0,clear sky
172,Airai,TL,-8.9266,125.4092,59.59,90,8,1.86,clear sky
173,Sur,OM,22.5667,59.5289,89.06,42,0,2.46,clear sky
174,Hobyo,SO,5.3505,48.5268,82.44,75,35,29.3,scattered clouds
175,La Union,PE,-5.4,-80.75,71.62,66,72,7.45,broken clouds
176,Yellowknife,CA,62.456,-114.3525,37.92,65,75,13.8,broken clouds
177,Saint Anthony,US,45.0205,-93.218,61.97,59,40,8.05,scattered clouds
178,Upernavik,GL,72.7868,-56.1549,17.58,75,52,7.09,broken clouds
179,Angoche,MZ,-16.2325,39.9086,77.83,70,58,10.89,light rain
180,Santa Rosa,PH,14.3122,121.1114,78.1,87,100,3.56,moderate rain
181,Champerico,GT,14.3,-91.9167,79.34,69,66,8.23,broken clouds
182,Padang,ID,-0.9492,100.3543,78.85,83,100,3.13,overcast clouds
183,Axim,GH,4.8699,-2.2405,84.9,68,77,7.99,broken clouds
184,Udachnyy,RU,66.4167,112.4,34.83,100,100,3.83,overcast clouds
185,Yoichi,JP,43.2039,140.7703,48.43,72,0,6.67,clear sky
186,Bredasdorp,ZA,-34.5322,20.0403,81.99,21,0,3.6,clear sky
187,Iqaluit,CA,63.7506,-68.5145,26.33,79,75,15.01,broken clouds
188,Kirkwood,US,38.5834,-90.4068,67.71,66,20,10.36,few clouds
189,Puerto Escondido,MX,15.85,-97.0667,77.83,78,0,5.75,clear sky
190,Quatre Cocos,MU,-20.2078,57.7625,77.11,72,89,16.13,overcast clouds
191,Yar-Sale,RU,66.8333,70.8333,39.65,98,81,2.08,broken clouds
192,Nemuro,JP,43.3236,145.575,43.2,87,99,12.53,overcast clouds
193,Balad,IQ,34.0164,44.1453,88.93,21,1,16.82,clear sky
194,Port Lincoln,AU,-34.7333,135.8667,58.8,63,99,11.07,overcast clouds
195,Weinan,CN,34.5036,109.5089,64.33,23,0,8.68,clear sky
196,Cochrane,CA,51.1834,-114.4687,52.39,56,0,8.05,clear sky
197,Caravelas,BR,-17.7125,-39.2481,84.11,63,68,6.73,broken clouds
198,Pili,PH,13.5833,123.3,77.47,89,92,3.0,overcast clouds
199,Te Anau,NZ,-45.4167,167.7167,53.71,95,92,5.64,overcast clouds
200,Bengkulu,ID,-3.8004,102.2655,78.31,88,100,3.06,overcast clouds
201,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,77,75,5.01,broken clouds
202,Palmer,US,42.1584,-72.3287,77.25,83,100,0.0,overcast clouds
203,Mananjary,MG,-21.2167,48.3333,71.65,87,94,7.52,moderate rain
204,Kisangani,CD,0.5167,25.2,74.79,95,98,0.58,heavy intensity rain
205,Ancud,CL,-41.8697,-73.8203,47.64,69,3,11.27,clear sky
206,Lebedinyy,RU,58.5167,125.5167,27.68,98,100,2.95,light snow
207,Hithadhoo,MV,-0.6,73.0833,83.91,75,82,14.36,broken clouds
208,Nokaneng,BW,-19.6667,22.2667,81.12,22,43,12.93,scattered clouds
209,Tuatapere,NZ,-46.1333,167.6833,53.38,94,96,2.06,overcast clouds
210,Gold Coast,AU,-28.0,153.4333,72.25,98,100,3.44,overcast clouds
211,Cozumel,MX,20.5083,-86.9458,79.95,83,0,7.0,clear sky
212,Yulara,AU,-25.2406,130.9889,63.84,39,69,9.51,broken clouds
213,Dargaville,NZ,-35.9333,173.8833,63.41,94,87,8.23,overcast clouds
214,Kibaya,TZ,-5.3,36.5667,69.24,61,82,7.4,broken clouds
215,Ribeira Grande,PT,38.5167,-28.7,63.0,63,40,21.85,scattered clouds
216,Tuljapur,IN,18.0,76.0833,96.67,23,65,11.43,broken clouds
217,Oxapampa,PE,-10.5775,-75.4017,66.7,74,90,3.13,overcast clouds
218,Mount Isa,AU,-20.7333,139.5,67.77,60,0,9.22,light rain
219,Margate,GB,51.3813,1.3862,70.88,71,12,18.28,few clouds
220,Srednekolymsk,RU,67.45,153.6833,31.48,99,99,4.88,overcast clouds
221,Mala,PE,-12.6581,-76.6308,68.02,72,58,3.4,broken clouds
222,Grindavik,IS,63.8424,-22.4338,57.15,71,75,5.75,broken clouds
223,Vadlapudi,IN,14.3167,79.8,86.14,71,97,9.46,moderate rain
224,Antalaha,MG,-14.9003,50.2788,77.65,72,14,12.88,few clouds
225,Constitucion,CL,-35.3333,-72.4167,58.17,55,5,2.68,clear sky
226,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,61,0,4.61,clear sky
227,Aklavik,CA,68.2191,-135.0107,30.49,92,100,13.22,light snow
228,Brae,GB,60.3964,-1.353,50.54,63,10,20.67,clear sky
229,Carnarvon,AU,-24.8667,113.6333,71.98,49,0,11.03,clear sky
230,Brufut,GM,13.3814,-16.7518,89.69,48,0,8.05,clear sky
231,Fortuna,US,40.5982,-124.1573,53.94,94,100,4.0,overcast clouds
232,Artigas,UY,-30.4,-56.4667,52.57,62,5,14.79,clear sky
233,Anshun,CN,26.25,105.9333,56.14,80,100,4.76,overcast clouds
234,Cairns,AU,-16.9167,145.7667,72.07,100,10,0.0,clear sky
235,Cam Ranh,VN,11.9214,109.1591,76.96,94,75,9.22,thunderstorm with light rain
236,Touros,BR,-5.1989,-35.4608,84.42,72,91,13.47,overcast clouds
237,Mahibadhoo,MV,3.7833,72.9667,83.26,81,100,20.62,overcast clouds
238,Debno,PL,52.739,14.698,70.84,42,94,5.79,overcast clouds
239,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,40,10.36,scattered clouds
240,Cayenne,GF,4.9333,-52.3333,83.08,1,100,4.61,light rain
241,Port Augusta,AU,-32.5,137.7667,55.56,63,0,5.08,clear sky
242,Ereymentau,KZ,51.6199,73.1033,71.1,38,63,13.62,broken clouds
243,San Isidro,PE,-12.1167,-77.05,71.02,73,89,8.05,overcast clouds
244,Kahului,US,20.8947,-156.47,73.85,72,0,4.61,clear sky
245,Pangai,TO,-19.8,-174.35,75.09,69,99,16.15,overcast clouds
246,Dryden,CA,49.7833,-92.7503,37.69,93,100,8.05,mist
247,Basoko,CD,1.2391,23.616,81.28,71,100,4.83,overcast clouds
248,Sebinkarahisar,TR,40.2883,38.4236,57.94,49,19,6.73,few clouds
249,Clyde River,CA,70.4692,-68.5914,21.43,86,75,3.44,broken clouds
